ticker,strategy,frequency,cumulative_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,volatility_pct,num_trades,win_rate_pct
AAPL,Buy-and-Hold,daily,102.13,42.47,1.7669,2.8009,-16.61,21.33,1,56.29
AAPL,SMA-Crossover,daily,43.66,19.99,1.2298,1.4278,-13.18,15.84,9,33.33
AAPL,Random,daily,6.28,3.11,0.2823,0.3285,-23.46,14.67,180,28.54
AAPL,Buy-and-Hold,weekly,102.13,42.47,1.7669,2.8009,-16.61,21.33,1,56.29
AAPL,SMA-Crossover,weekly,39.83,18.37,1.15,1.3202,-14.22,15.74,9,32.34
AAPL,Random,weekly,33.0,15.42,0.9756,1.1378,-18.91,16.02,40,32.73
AAPL,Buy-and-Hold,monthly,102.13,42.47,1.7669,2.8009,-16.61,21.33,1,56.29
AAPL,SMA-Crossover,monthly,45.07,20.58,1.2382,1.4296,-11.75,16.17,5,32.34
AAPL,Random,monthly,32.02,14.99,0.9205,1.1112,-16.61,16.69,3,31.94
MSFT,Buy-and-Hold,daily,78.64,33.89,1.4017,2.0938,-15.49,22.66,1,54.49
MSFT,SMA-Crossover,daily,28.85,13.6,0.8128,0.9997,-19.51,17.59,9,33.13
MSFT,Random,daily,35.65,16.57,1.0623,1.3806,-10.4,15.58,171,26.95
MSFT,Buy-and-Hold,weekly,78.64,33.89,1.4017,2.0938,-15.49,22.66,1,54.49
MSFT,SMA-Crossover,weekly,29.61,13.93,0.8441,1.0593,-20.58,17.2,9,32.93
MSFT,Random,weekly,50.96,23.02,1.39,1.4558,-11.78,15.81,42,29.14
MSFT,Buy-and-Hold,monthly,78.64,33.89,1.4017,2.0938,-15.49,22.66,1,54.49
MSFT,SMA-Crossover,monthly,22.84,10.9,0.6807,0.7835,-19.47,17.43,9,33.13
MSFT,Random,monthly,55.83,25.0,1.3734,1.6939,-15.49,17.34,8,30.14
AMZN,Buy-and-Hold,daily,155.38,60.26,1.6957,2.6384,-19.64,30.59,1,53.49
AMZN,SMA-Crossover,daily,58.28,25.98,1.053,1.3901,-23.49,24.88,7,38.72
AMZN,Random,daily,31.16,14.62,0.7353,0.8636,-16.16,21.79,193,25.35
AMZN,Buy-and-Hold,weekly,155.38,60.26,1.6957,2.6384,-19.64,30.59,1,53.49
AMZN,SMA-Crossover,weekly,59.41,26.43,1.0696,1.4089,-22.66,24.81,7,38.92
AMZN,Random,weekly,70.83,30.91,1.3289,1.6673,-15.97,22.1,35,27.94
AMZN,Buy-and-Hold,monthly,155.38,60.26,1.6957,2.6384,-19.64,30.59,1,53.49
AMZN,SMA-Crossover,monthly,59.79,26.59,1.1229,1.387,-21.67,23.45,5,35.13
AMZN,Random,monthly,38.47,17.79,0.9568,1.045,-21.8,19.0,11,24.95
TSLA,Buy-and-Hold,daily,273.21,93.95,1.4257,2.4543,-51.57,58.24,1,52.69
TSLA,SMA-Crossover,daily,77.05,33.29,0.8929,1.0646,-46.45,41.78,11,25.15
TSLA,Random,daily,24.42,11.62,0.4708,0.6343,-54.53,39.39,170,24.95
TSLA,Buy-and-Hold,weekly,273.21,93.95,1.4257,2.4543,-51.57,58.24,1,52.69
TSLA,SMA-Crossover,weekly,41.26,18.98,0.6189,0.7491,-49.58,42.19,11,24.55
TSLA,Random,weekly,-8.1,-4.16,0.0558,0.0551,-54.35,35.28,42,18.96
TSLA,Buy-and-Hold,monthly,273.21,93.95,1.4257,2.4543,-51.57,58.24,1,52.69
TSLA,SMA-Crossover,monthly,57.96,25.86,0.7486,0.8219,-46.03,42.76,9,23.55
TSLA,Random,monthly,8.9,4.38,0.3189,0.409,-49.79,45.79,11,29.54
NFLX,Buy-and-Hold,daily,201.89,74.33,1.8124,3.1162,-27.51,33.79,1,53.09
NFLX,SMA-Crossover,daily,98.03,41.01,1.4755,1.8891,-18.45,25.49,7,34.93
NFLX,Random,daily,49.25,22.31,0.9544,1.1709,-23.69,24.14,152,27.94
NFLX,Buy-and-Hold,weekly,201.89,74.33,1.8124,3.1162,-27.51,33.79,1,53.09
NFLX,SMA-Crossover,weekly,109.7,45.13,1.6054,2.0405,-15.16,25.17,7,33.73
NFLX,Random,weekly,83.8,35.82,1.2569,1.5968,-24.47,27.3,35,32.53
NFLX,Buy-and-Hold,monthly,201.89,74.33,1.8124,3.1162,-27.51,33.79,1,53.09
NFLX,SMA-Crossover,monthly,123.27,49.78,1.705,2.1224,-15.62,25.62,7,33.93
NFLX,Random,monthly,100.59,41.93,1.354,1.8634,-30.41,28.91,8,34.73
