ticker,strategy,frequency,cumulative_return_pct,cumulative_return_pct_std,annualized_return_pct,annualized_return_pct_std,sharpe_ratio,sharpe_ratio_std,sortino_ratio,sortino_ratio_std,max_drawdown_pct,max_drawdown_pct_std,volatility_pct,volatility_pct_std,num_trades,num_trades_std,win_rate_pct,win_rate_pct_std
AAPL,LLM-gpt-4.1-mini,daily,40.925,6.334999999999997,18.805,2.6849999999999987,1.1633499999999999,0.14845000000000008,1.40665,0.16325,-12.825,0.1849999999999996,15.895,0.09499999999999975,111.0,1.0,35.129999999999995,0.1999999999999993
MSFT,LLM-gpt-4.1-mini,daily,7.56,7.6899999999999995,3.6700000000000004,3.7300000000000004,0.28385,0.20095000000000002,0.3443,0.2484,-12.485,0.45500000000000007,17.689999999999998,0.41999999999999993,123.0,7.0,34.43,1.1000000000000014
AMZN,LLM-gpt-4.1-mini,daily,21.455000000000002,9.325,10.19,4.26,0.53125,0.17325000000000002,0.6906,0.25,-26.435000000000002,3.665000000000001,23.665,0.8149999999999995,143.0,1.0,32.435,1.0950000000000006
TSLA,LLM-gpt-4.1-mini,daily,129.935,15.354999999999997,51.93,5.109999999999999,1.21275,0.11814999999999998,1.59205,0.15155000000000007,-33.935,1.745000000000001,41.75,1.9799999999999969,139.0,1.0,26.744999999999997,1.795
NFLX,LLM-gpt-4.1-mini,daily,69.175,4.234999999999999,30.259999999999998,1.6399999999999988,1.2701,0.0636000000000001,1.6651500000000001,0.07534999999999992,-17.634999999999998,1.165000000000001,22.875,0.18499999999999872,117.0,3.0,31.735,0.7949999999999999
AAPL,LLM-gpt-4.1-mini,weekly,48.973333333333336,5.92433024812838,22.176666666666666,2.458255930984857,1.3036,0.0985382497645796,1.6685333333333332,0.1733848192765317,-18.36,0.863288287113098,16.349999999999998,0.40356742518031213,28.0,0.816496580927726,37.129999999999995,0.16329931618554464
MSFT,LLM-gpt-4.1-mini,weekly,29.426666666666666,3.007017717865253,13.846666666666666,1.331724028802097,0.7807333333333334,0.05642519137957995,0.9838333333333334,0.07831123092436289,-18.87,1.03237590053236,18.87,0.23551362310207694,31.333333333333332,0.9428090415820634,35.86333333333334,1.0498677165349075
AMZN,LLM-gpt-4.1-mini,weekly,30.13,2.206414889966678,14.160000000000002,0.9688137075826285,0.6784333333333333,0.0343682346877979,0.8946999999999999,0.04709784142258187,-18.74,0.0,23.63,0.12832251036613415,32.666666666666664,0.9428090415820634,36.79666666666667,0.377123616632824
TSLA,LLM-gpt-4.1-mini,weekly,121.68666666666667,37.776179737442426,48.72333333333333,12.606380218850381,1.1003333333333334,0.17087801366927097,1.3455666666666666,0.26425010038892244,-46.73666666666666,3.06596731156018,44.586666666666666,1.0241853130930738,36.666666666666664,0.9428090415820634,30.603333333333328,1.7948135155373526
NFLX,LLM-gpt-4.1-mini,weekly,81.79333333333334,3.943994027491532,35.06666666666667,1.4720582717934614,1.2756999999999998,0.04430673387496154,1.5675000000000001,0.05567842191250282,-18.23,0.0,26.27,0.6203224967708334,26.0,1.632993161855452,36.13,0.8485281374238557
AAPL,LLM-gpt-4.1-mini,monthly,18.040000000000003,5.748895546102746,8.67,2.6870553895792075,0.5843,0.1521512405470294,0.6817333333333333,0.17022983156766489,-19.153333333333332,0.6976786907707271,16.523333333333333,0.22543784558547994,12.333333333333334,0.9428090415820634,33.663333333333334,0.8993825042154676
MSFT,LLM-gpt-4.1-mini,monthly,23.14,0.0,11.04,0.0,0.6535,0.0,0.8362000000000002,1.1102230246251565e-16,-17.81,0.0,18.69,0.0,9.0,0.0,32.34,0.0
AMZN,LLM-gpt-4.1-mini,monthly,34.46,0.0,16.06,0.0,0.6839,0.0,0.8952,0.0,-22.149999999999995,3.552713678800501e-15,27.22,0.0,7.0,0.0,43.31,0.0
TSLA,LLM-gpt-4.1-mini,monthly,-6.763333333333333,3.627600982590132,-3.4800000000000004,1.8731969108096105,0.10176666666666667,0.05350765261987195,0.10923333333333334,0.06063889474219955,-48.06666666666666,2.019510391709392,39.156666666666666,0.6656492236072176,13.666666666666666,0.9428090415820634,23.02,1.8745132701584164
NFLX,LLM-gpt-4.1-mini,monthly,-1.4533333333333331,5.125240373766766,-0.7666666666666666,2.583709650010147,0.07970000000000001,0.11429298607817834,0.09413333333333333,0.13308774883094568,-32.623333333333335,2.2127107558126267,23.263333333333332,0.5138309276622237,12.333333333333334,0.9428090415820634,30.736666666666668,1.653689477770507
