ticker,strategy,frequency,cumulative_return_pct,annualized_return_pct,sharpe_ratio,sortino_ratio,max_drawdown_pct,volatility_pct,num_trades,win_rate_pct,run
AAPL,LLM-gpt-4.1-mini,daily,47.26,21.49,1.3118,1.5699,-12.64,15.8,112,34.93,0
AAPL,LLM-gpt-4.1-mini,daily,34.59,16.12,1.0149,1.2434,-13.01,15.99,110,35.33,1
MSFT,LLM-gpt-4.1-mini,daily,-0.13,-0.06,0.0829,0.0959,-12.03,17.27,130,33.33,0
MSFT,LLM-gpt-4.1-mini,daily,15.25,7.4,0.4848,0.5927,-12.94,18.11,116,35.53,1
AMZN,LLM-gpt-4.1-mini,daily,30.78,14.45,0.7045,0.9406,-30.1,22.85,144,31.34,0
AMZN,LLM-gpt-4.1-mini,daily,12.13,5.93,0.358,0.4406,-22.77,24.48,142,33.53,1
TSLA,LLM-gpt-4.1-mini,daily,145.29,57.04,1.3309,1.7436,-32.19,39.77,140,24.95,0
TSLA,LLM-gpt-4.1-mini,daily,114.58,46.82,1.0946,1.4405,-35.68,43.73,138,28.54,1
NFLX,LLM-gpt-4.1-mini,daily,73.41,31.9,1.3337,1.7405,-16.47,22.69,120,30.94,0
NFLX,LLM-gpt-4.1-mini,daily,64.94,28.62,1.2065,1.5898,-18.8,23.06,114,32.53,1
AAPL,LLM-gpt-4.1-mini,weekly,51.38,23.19,1.3354,1.7567,-18.93,16.66,29,37.33,0
AAPL,LLM-gpt-4.1-mini,weekly,40.82,18.79,1.1702,1.4263,-19.01,15.78,28,36.93,1
AAPL,LLM-gpt-4.1-mini,weekly,54.72,24.55,1.4052,1.8226,-17.14,16.61,27,37.13,2
MSFT,LLM-gpt-4.1-mini,weekly,33.19,15.51,0.847,1.0823,-19.6,19.19,32,37.33,0
MSFT,LLM-gpt-4.1-mini,weekly,25.83,12.25,0.7091,0.8907,-19.6,18.79,32,35.33,1
MSFT,LLM-gpt-4.1-mini,weekly,29.26,13.78,0.7861,0.9785,-17.41,18.63,30,34.93,2
AMZN,LLM-gpt-4.1-mini,weekly,33.25,15.53,0.727,0.9613,-18.74,23.74,32,37.33,0
AMZN,LLM-gpt-4.1-mini,weekly,28.61,13.49,0.6525,0.8606,-18.74,23.7,34,36.53,1
AMZN,LLM-gpt-4.1-mini,weekly,28.53,13.46,0.6558,0.8622,-18.74,23.45,32,36.53,2
TSLA,LLM-gpt-4.1-mini,weekly,173.03,65.74,1.3286,1.6987,-43.15,45.92,36,32.73,0
TSLA,LLM-gpt-4.1-mini,weekly,83.23,35.61,0.9175,1.0631,-50.64,43.43,38,28.34,1
TSLA,LLM-gpt-4.1-mini,weekly,108.8,44.82,1.0549,1.2749,-46.42,44.41,36,30.74,2
NFLX,LLM-gpt-4.1-mini,weekly,78.14,33.7,1.2156,1.5428,-18.23,26.85,28,37.33,0
NFLX,LLM-gpt-4.1-mini,weekly,87.27,37.11,1.3211,1.6446,-18.23,26.55,26,35.53,1
NFLX,LLM-gpt-4.1-mini,weekly,79.97,34.39,1.2904,1.5151,-18.23,25.41,24,35.53,2
AAPL,LLM-gpt-4.1-mini,monthly,9.91,4.87,0.3693,0.441,-20.14,16.59,13,33.73,0
AAPL,LLM-gpt-4.1-mini,monthly,22.15,10.59,0.6843,0.8004,-18.66,16.76,13,34.73,1
AAPL,LLM-gpt-4.1-mini,monthly,22.06,10.55,0.6993,0.8038,-18.66,16.22,11,32.53,2
MSFT,LLM-gpt-4.1-mini,monthly,23.14,11.04,0.6535,0.8362,-17.81,18.69,9,32.34,0
MSFT,LLM-gpt-4.1-mini,monthly,23.14,11.04,0.6535,0.8362,-17.81,18.69,9,32.34,1
MSFT,LLM-gpt-4.1-mini,monthly,23.14,11.04,0.6535,0.8362,-17.81,18.69,9,32.34,2
AMZN,LLM-gpt-4.1-mini,monthly,34.46,16.06,0.6839,0.8952,-22.15,27.22,7,43.31,0
AMZN,LLM-gpt-4.1-mini,monthly,34.46,16.06,0.6839,0.8952,-22.15,27.22,7,43.31,1
AMZN,LLM-gpt-4.1-mini,monthly,34.46,16.06,0.6839,0.8952,-22.15,27.22,7,43.31,2
TSLA,LLM-gpt-4.1-mini,monthly,-8.96,-4.61,0.072,0.0761,-49.29,39.05,15,22.95,0
TSLA,LLM-gpt-4.1-mini,monthly,-9.68,-4.99,0.0564,0.0573,-49.69,38.4,13,20.76,1
TSLA,LLM-gpt-4.1-mini,monthly,-1.65,-0.84,0.1769,0.1943,-45.22,40.02,13,25.35,2
NFLX,LLM-gpt-4.1-mini,monthly,5.44,2.7,0.231,0.2718,-29.91,23.74,13,32.53,0
NFLX,LLM-gpt-4.1-mini,monthly,-6.84,-3.5,-0.0452,-0.0485,-35.33,22.55,13,28.54,1
NFLX,LLM-gpt-4.1-mini,monthly,-2.96,-1.5,0.0533,0.0591,-32.63,23.5,11,31.14,2
